(19/04/2020, 05:05:00) Kseniya_Malakhov[SQLID: 6358] je radi neaktivnosti izgubio posao ID 15 i 0 sati ugovora.
(20/04/2020, 05:05:00) Matthew_Eastwood[SQLID: 1611] je radi neaktivnosti izgubio posao ID 1 i 4 sati ugovora.
(20/04/2020, 05:05:00) Alexey_Yarmolenko[SQLID: 1767] je radi neaktivnosti izgubio posao ID 2 i 4 sati ugovora.
(20/04/2020, 05:05:00) Johnny_Anderson[SQLID: 3739] je radi neaktivnosti izgubio posao ID 5 i 1 sati ugovora.
(20/04/2020, 05:05:00) Marcus_Jackson[SQLID: 5910] je radi neaktivnosti izgubio posao ID 7 i 6 sati ugovora.
(20/04/2020, 05:05:00) Lazar_Stojadinovic[SQLID: 5997] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(20/04/2020, 05:05:00) Alex_Notorious[SQLID: 6225] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(20/04/2020, 05:05:00) Roy_Anderson[SQLID: 6239] je radi neaktivnosti izgubio posao ID 9 i 0 sati ugovora.
(20/04/2020, 05:05:00) Walt_Kowalski[SQLID: 6242] je radi neaktivnosti izgubio posao ID 15 i 4 sati ugovora.
(20/04/2020, 05:05:00) Miguel_Bello[SQLID: 6325] je radi neaktivnosti izgubio posao ID 1 i 23 sati ugovora.
(20/04/2020, 05:05:00) David_Weis[SQLID: 6333] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(20/04/2020, 05:05:00) Jack_Hillton[SQLID: 6346] je radi neaktivnosti izgubio posao ID 15 i 8 sati ugovora.
(20/04/2020, 05:05:00) Thomas_Jefferson[SQLID: 6360] je radi neaktivnosti izgubio posao ID 14 i 0 sati ugovora.
(20/04/2020, 05:05:00) Dantrell_Bolden[SQLID: 6375] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(20/04/2020, 05:05:00) Amaru_Shakur[SQLID: 6376] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(20/04/2020, 05:05:00) Johny_Jefferson[SQLID: 6388] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(21/04/2020, 05:05:00) Dwayne_Garth[SQLID: 2002] je radi neaktivnosti izgubio posao ID 6 i 0 sati ugovora.
(21/04/2020, 05:05:00) Damian_Moretti[SQLID: 2444] je radi neaktivnosti izgubio posao ID 6 i 1 sati ugovora.
(21/04/2020, 05:05:00) Wesley_Gardner[SQLID: 2825] je radi neaktivnosti izgubio posao ID 1 i 17 sati ugovora.
(21/04/2020, 05:05:00) Isaiah_Mills[SQLID: 4928] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(21/04/2020, 05:05:00) Baykal_Aga[SQLID: 4979] je radi neaktivnosti izgubio posao ID 9 i 5 sati ugovora.
(21/04/2020, 05:05:00) Hachiro_Yamazaki[SQLID: 6053] je radi neaktivnosti izgubio posao ID 9 i 6 sati ugovora.
(21/04/2020, 05:05:00) Feedy_Corleone[SQLID: 6097] je radi neaktivnosti izgubio posao ID 7 i 5 sati ugovora.
(21/04/2020, 05:05:00) Cesar_Sanchez[SQLID: 6324] je radi neaktivnosti izgubio posao ID 1 i 20 sati ugovora.
(21/04/2020, 05:05:00) Michael_Korman[SQLID: 6392] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(21/04/2020, 05:05:00) Lamar_Jones[SQLID: 6396] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
