
[14/06/2020] AdmCMD: Avetinja je novcano kaznio igraca Edsel_Eang sa $5000, razlog: IC
[17/06/2020] AdmCMD: darwin je novcano kaznio igraca Midhat_Spaho sa $500, razlog: .
[18/06/2020] AdmCMD: darwin je novcano kaznio igraca Thomas_Day sa $30000, razlog: .
[18/06/2020] AdmCMD: darwin je novcano kaznio igraca William_Walker sa $26750, razlog: Burrito
[23/06/2020] AdmCMD: BrownNN je novcano kaznio igraca Adrian_Campbell sa $300, razlog: IC
[23/06/2020] AdmCMD: Avetinja je novcano kaznio igraca William_Walker sa $5000, razlog: IC
[24/06/2020] AdmCMD: Cruella. je novcano kaznio igraca Hunter_Kang sa $100, razlog: recover
[25/06/2020] AdmCMD: darwin je novcano kaznio igraca Thomas_Day sa $30000, razlog: .
[27/06/2020] AdmCMD: Pop911 je novcano kaznio igraca James_Hobart sa $350, razlog: IC
[27/06/2020] AdmCMD: Pop911 je novcano kaznio igraca Kenvante_Shaw sa $350, razlog: IC
[29/06/2020] AdmCMD: Avetinja je novcano kaznio igraca Scott_Douglas sa $5000, razlog: IC
[01/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Dania_Barton sa $1000, razlog: IC
[01/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Josif_Arsov sa $2500, razlog: (4)14
[01/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Dylan_Torres sa $500, razlog: IC
[02/07/2020] AdmCMD: tacZo je novcano kaznio igraca Jack_White sa $3000, razlog: (10)13
[03/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Pablo_Buarda sa $5000, razlog: (4)14
[04/07/2020] AdmCMD: tacZo je novcano kaznio igraca Jack_White sa $1000, razlog: IC
[09/07/2020] AdmCMD: Avetinja je novcano kaznio igraca Thomas_Robinson sa $300, razlog: IC
[10/07/2020] AdmCMD: Brent je novcano kaznio igraca Siomon_Liebermann sa $50000, razlog: OOC
[17/07/2020] AdmCMD: tacZo je novcano kaznio igraca Andrew_Moore sa $5000, razlog: oglas
[17/07/2020] AdmCMD: Unknown je novcano kaznio igraca Lev_Anasenko sa $1310752682, razlog: .
[17/07/2020] AdmCMD: Unknown je novcano kaznio igraca Lev_Anasenko sa $4998006, razlog: .
